                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.40705,                0.42427,                 0.2622,                0.94598,                0.99636,                0.99366,                0.99479,                0.92353,                0.99636,                0.99366,                0.99479,                0.94745,                0.43688,                0.39758,                0.22582,                0.92532,              0.0009308,              0.0009308,              0.0009308
                     56,                0.43518,                0.46078,                0.27524,                0.95123,                0.99154,                0.99112,                0.99468,                0.92615,                0.99154,                0.99112,                0.99468,                0.94515,                0.44195,                0.39744,                0.23648,                0.90947,               0.000911,               0.000911,               0.000911
                     57,                0.39883,                0.43126,                0.25013,                0.94507,                0.99158,                0.99544,                0.99466,                0.92412,                0.99158,                0.99544,                0.99466,                0.94577,                0.44176,                0.41671,                0.22997,                0.91838,              0.0008912,              0.0008912,              0.0008912
                     58,                0.41673,                0.43534,                0.25912,                0.94507,                0.99335,                0.99154,                0.99463,                0.92539,                0.99335,                0.99154,                0.99463,                 0.9439,                0.42722,                0.42347,                0.23363,                 0.9224,              0.0008714,              0.0008714,              0.0008714
                     59,                0.40821,                0.43802,                0.24438,                0.93974,                0.99156,                0.99408,                 0.9946,                0.92771,                0.99156,                0.99408,                 0.9946,                0.94705,                0.43186,                0.41007,                0.22298,                0.90949,              0.0008516,              0.0008516,              0.0008516
                     60,                0.41541,                0.43027,                0.25085,                0.94364,                0.99367,                0.99547,                 0.9947,                0.93115,                0.99367,                0.99547,                 0.9947,                0.95244,                 0.4235,                0.39963,                0.22291,                0.90552,              0.0008318,              0.0008318,              0.0008318
                     61,                0.41211,                0.44834,                 0.2544,                0.93088,                0.99577,                 0.9948,                0.99494,                 0.9305,                0.99577,                 0.9948,                0.99494,                0.95216,                 0.4307,                0.40692,                0.22622,                 0.9037,               0.000812,               0.000812,               0.000812
                     62,                0.40467,                0.41564,                0.24823,                0.93181,                0.99106,                0.99366,                0.99463,                0.92386,                0.99106,                0.99366,                0.99463,                0.94514,                0.42644,                 0.3914,                0.22683,                0.90682,              0.0007922,              0.0007922,              0.0007922
                     63,                0.39953,                0.43017,                0.24078,                0.92838,                0.99642,                0.98732,                0.99466,                 0.9322,                0.99642,                0.98732,                0.99466,                0.94924,                0.41172,                0.38881,                0.22191,                0.89313,              0.0007724,              0.0007724,              0.0007724
                     64,                0.40403,                0.41396,                0.24634,                 0.9242,                0.99099,                0.99577,                0.99487,                0.93337,                0.99099,                0.99577,                0.99487,                0.95237,                0.41781,                0.38864,                0.22509,                0.89854,              0.0007526,              0.0007526,              0.0007526
